PRODUCT_CATEGORY,PRODUCT_TYPE,PRODUCT_DETAIL,STORE_LOCATION,NUMBER_OR_ROWS,NUMBER_OF_SALES,NUMBER_OF_UNITS_SOLD,REVENUE_PER_TRANSACTION,TOTAL_REVENUE,MONTH_ID,MONTH_NAME,DAY_NAME,TIME_BUCKET,SPEND_TREND
Coffee,Barista Espresso,Ouro Brasileiro shot,Hell's Kitchen,4,4,6,17.10,17.10,202303,Mar,Mon,Evening,Low
Coffee,Barista Espresso,Espresso shot,Hell's Kitchen,9,9,13,39.00,39.00,202302,Feb,Sat,Morning,High
Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Hell's Kitchen,2,2,3,7.50,7.50,202301,Jan,Thu,Evening,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Hell's Kitchen,8,8,13,26.00,26.00,202301,Jan,Thu,Evening,Low
Tea,Brewed Black tea,English Breakfast Rg,Hell's Kitchen,1,1,1,2.50,2.50,202305,May,Wed,Night,Low
Coffee,Gourmet brewed coffee,Ethiopia Lg,Hell's Kitchen,3,3,4,14.00,14.00,202303,Mar,Mon,Evening,Low
Coffee,Barista Espresso,Latte Rg,Hell's Kitchen,1,1,1,4.25,4.25,202305,May,Wed,Night,Low
Flavours,Regular syrup,Carmel syrup,Hell's Kitchen,2,2,3,2.40,2.40,202305,May,Wed,Evening,Low
Flavours,Regular syrup,Hazelnut syrup,Hell's Kitchen,2,2,3,2.40,2.40,202305,May,Wed,Evening,Low
Loose Tea,Chai tea,Traditional Blend Chai,Hell's Kitchen,1,1,1,8.95,8.95,202305,May,Wed,Afternoon,Low
Branded,Housewares,I Need My Bean! Diner mug,Hell's Kitchen,1,1,1,12.00,12.00,202305,May,Wed,Afternoon,Low
Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Hell's Kitchen,4,4,5,12.75,12.75,202301,Jan,Thu,Evening,Low
Tea,Brewed Black tea,English Breakfast Rg,Hell's Kitchen,3,3,4,10.00,10.00,202305,May,Sat,Afternoon,Low
Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic,Hell's Kitchen,1,1,1,7.60,7.60,202305,May,Wed,Afternoon,Low
Bakery,Pastry,Croissant,Hell's Kitchen,1,1,1,3.50,3.50,202305,May,Wed,Afternoon,Low
Packaged Chocolate,Drinking Chocolate,Dark chocolate,Hell's Kitchen,1,1,1,6.40,6.40,202305,May,Wed,Morning,Low
Loose Tea,Herbal tea,Peppermint,Hell's Kitchen,1,1,1,8.95,8.95,202305,May,Wed,Morning,Low
Branded,Clothing,I Need My Bean! T-shirt,Hell's Kitchen,1,1,1,28.00,28.00,202305,May,Wed,Morning,Low
Loose Tea,Black tea,Earl Grey,Hell's Kitchen,1,1,1,8.95,8.95,202305,May,Wed,Morning,Low
Coffee beans,House blend Beans,Our Old Time Diner Blend,Hell's Kitchen,1,1,1,18.00,18.00,202305,May,Tue,Evening,Low
Bakery,Biscotti,Ginger Biscotti,Hell's Kitchen,2,2,2,7.00,7.00,202305,May,Tue,Evening,Low
Tea,Brewed Green tea,Serenity Green Tea Lg,Hell's Kitchen,3,3,3,9.00,9.00,202302,Feb,Sat,Afternoon,Low
Coffee,Organic brewed coffee,Brazilian Rg,Hell's Kitchen,8,8,12,36.00,36.00,202302,Feb,Sat,Morning,High
Coffee,Barista Espresso,Cappuccino Lg,Hell's Kitchen,12,12,17,72.25,72.25,202302,Feb,Sat,Morning,High
Coffee,Barista Espresso,Latte Rg,Hell's Kitchen,12,12,20,85.00,85.00,202303,Mar,Tue,Morning,High
Bakery,Biscotti,Hazelnut Biscotti,Hell's Kitchen,10,10,10,32.50,32.50,202303,Mar,Tue,Morning,High
Tea,Brewed Black tea,Earl Grey Lg,Hell's Kitchen,8,8,13,39.00,39.00,202303,Mar,Tue,Morning,High
Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Hell's Kitchen,4,4,6,21.00,21.00,202303,Mar,Mon,Evening,Low
Coffee,Drip coffee,Our Old Time Diner Blend Lg,Hell's Kitchen,5,5,7,21.00,21.00,202302,Feb,Sat,Afternoon,Low
Tea,Brewed Green tea,Serenity Green Tea Rg,Hell's Kitchen,3,3,4,10.00,10.00,202303,Mar,Mon,Evening,Low
Tea,Brewed Chai tea,Traditional Blend Chai Rg,Hell's Kitchen,10,10,15,37.50,37.50,202302,Feb,Sat,Morning,High
Bakery,Scone,Oatmeal Scone,Hell's Kitchen,1,1,1,3.00,3.00,202303,Mar,Mon,Evening,Low
Coffee,Barista Espresso,Cappuccino Lg,Hell's Kitchen,2,2,2,8.50,8.50,202303,Mar,Mon,Evening,Low
Coffee,Barista Espresso,Latte,Hell's Kitchen,3,3,4,15.00,15.00,202303,Mar,Mon,Evening,Low
Coffee,Organic brewed coffee,Brazilian Lg,Hell's Kitchen,5,5,7,24.50,24.50,202303,Mar,Mon,Evening,Low
Coffee,Gourmet brewed coffee,Ethiopia Rg,Hell's Kitchen,4,4,5,15.00,15.00,202303,Mar,Mon,Evening,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Hell's Kitchen,2,2,4,12.40,12.40,202303,Mar,Mon,Evening,Low
Coffee,Barista Espresso,Cappuccino,Hell's Kitchen,5,5,6,22.50,22.50,202301,Jan,Thu,Afternoon,Low
Bakery,Scone,Ginger Scone,Hell's Kitchen,4,4,4,13.00,13.00,202303,Mar,Mon,Evening,Low
Tea,Brewed herbal tea,Lemon Grass Rg,Hell's Kitchen,8,8,12,30.00,30.00,202303,Mar,Mon,Evening,Low
Coffee,Barista Espresso,Cappuccino,Hell's Kitchen,5,5,8,30.00,30.00,202303,Mar,Mon,Evening,Low
Bakery,Pastry,Chocolate Croissant,Hell's Kitchen,3,3,3,11.25,11.25,202303,Mar,Mon,Evening,Low
Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Hell's Kitchen,8,8,12,37.20,37.20,202303,Mar,Mon,Evening,High
Bakery,Scone,Scottish Cream Scone ,Hell's Kitchen,4,4,4,18.00,18.00,202303,Mar,Mon,Afternoon,Low
Tea,Brewed herbal tea,Lemon Grass Rg,Hell's Kitchen,5,5,8,20.00,20.00,202303,Mar,Mon,Afternoon,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Hell's Kitchen,2,2,4,8.00,8.00,202303,Mar,Mon,Evening,Low
Tea,Brewed Black tea,English Breakfast Lg,Hell's Kitchen,5,5,10,30.00,30.00,202303,Mar,Mon,Evening,Low
Tea,Brewed Green tea,Serenity Green Tea Lg,Hell's Kitchen,4,4,7,21.00,21.00,202303,Mar,Mon,Evening,Low
Coffee,Barista Espresso,Latte Rg,Hell's Kitchen,2,2,2,8.50,8.50,202303,Mar,Mon,Evening,Low
Tea,Brewed Black tea,Earl Grey Rg,Hell's Kitchen,5,5,10,25.00,25.00,202303,Mar,Mon,Evening,Low
Tea,Brewed herbal tea,Peppermint Lg,Hell's Kitchen,1,1,2,6.00,6.00,202303,Mar,Mon,Evening,Low
Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Hell's Kitchen,6,6,10,25.00,25.00,202303,Mar,Mon,Evening,Low
Coffee,Drip coffee,Our Old Time Diner Blend Sm,Hell's Kitchen,6,6,11,22.00,22.00,202303,Mar,Mon,Evening,Low
Coffee beans,Organic Beans,Brazilian - Organic,Hell's Kitchen,1,1,1,18.00,18.00,202305,May,Mon,Morning,Low
Coffee,Barista Espresso,Ouro Brasileiro shot,Hell's Kitchen,19,19,28,80.40,80.40,202301,Jan,Fri,Morning,High
Tea,Brewed Black tea,English Breakfast Lg,Hell's Kitchen,9,9,11,33.00,33.00,202301,Jan,Fri,Morning,High
Branded,Clothing,I Need My Bean! T-shirt,Hell's Kitchen,1,1,1,28.00,28.00,202305,May,Sun,Morning,Low
Coffee beans,Green beans,Guatemalan Sustainably Grown,Hell's Kitchen,1,1,1,10.00,10.00,202305,May,Sun,Morning,Low
Coffee beans,Espresso Beans,Espresso Roast,Hell's Kitchen,1,1,1,14.75,14.75,202305,May,Tue,Morning,Low
Coffee,Gourmet brewed coffee,Ethiopia Sm,Hell's Kitchen,7,7,10,22.00,22.00,202301,Jan,Fri,Morning,Low
Coffee beans,Premium Beans,Jamacian Coffee River,Hell's Kitchen,1,1,1,19.75,19.75,202305,May,Mon,Morning,Low
Coffee beans,House blend Beans,Our Old Time Diner Blend,Hell's Kitchen,1,1,1,18.00,18.00,202305,May,Mon,Morning,Low
Coffee beans,Organic Beans,Organic Decaf Blend,Hell's Kitchen,1,1,1,22.50,22.50,202305,May,Sat,Night,Low
Bakery,Biscotti,Ginger Biscotti,Hell's Kitchen,6,6,6,21.00,21.00,202301,Jan,Fri,Morning,Low
Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Hell's Kitchen,8,8,13,32.50,32.50,202301,Jan,Fri,Morning,High
Coffee beans,Espresso Beans,Espresso Roast,Hell's Kitchen,1,1,1,14.75,14.75,202305,May,Mon,Afternoon,Low
Bakery,Scone,Cranberry Scone,Hell's Kitchen,2,2,2,6.50,6.50,202305,May,Mon,Evening,Low
Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic,Hell's Kitchen,1,1,1,7.60,7.60,202305,May,Mon,Evening,Low
Coffee beans,Gourmet Beans,Ethiopia,Hell's Kitchen,1,1,1,21.00,21.00,202305,May,Mon,Evening,Low
Loose Tea,Black tea,Earl Grey,Hell's Kitchen,1,1,1,8.95,8.95,202305,May,Tue,Morning,Low
Tea,Brewed Green tea,Serenity Green Tea Rg,Hell's Kitchen,6,6,11,27.50,27.50,202301,Jan,Fri,Morning,Low
Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Hell's Kitchen,1,1,2,6.20,6.20,202305,May,Sat,Night,Low
Branded,Housewares,I Need My Bean! Latte cup,Hell's Kitchen,1,1,1,14.00,14.00,202305,May,Sat,Night,Low
Coffee,Drip coffee,Our Old Time Diner Blend Lg,Hell's Kitchen,2,2,4,12.00,12.00,202305,May,Sat,Night,Low
Bakery,Pastry,Chocolate Croissant,Hell's Kitchen,1,1,1,3.75,3.75,202305,May,Sat,Night,Low
Coffee,Barista Espresso,Latte Rg,Hell's Kitchen,3,3,4,17.00,17.00,202305,May,Sat,Night,Low
Tea,Brewed herbal tea,Peppermint Rg,Hell's Kitchen,3,3,5,12.50,12.50,202305,May,Sun,Evening,Low
Coffee,Barista Espresso,Latte,Hell's Kitchen,1,1,1,3.75,3.75,202305,May,Sat,Night,Low
Flavours,Regular syrup,Chocolate syrup,Hell's Kitchen,2,2,3,2.40,2.40,202305,May,Sat,Night,Low
Flavours,Regular syrup,Carmel syrup,Hell's Kitchen,4,4,7,5.60,5.60,202305,May,Sat,Night,Low
Coffee,Barista Espresso,Espresso shot,Hell's Kitchen,1,1,2,6.00,6.00,202305,May,Sat,Night,Low
Coffee,Barista Espresso,Cappuccino,Hell's Kitchen,8,8,11,41.25,41.25,202301,Jan,Fri,Morning,High
Coffee,Organic brewed coffee,Brazilian Lg,Hell's Kitchen,10,10,19,66.50,66.50,202301,Jan,Fri,Morning,High
Coffee,Barista Espresso,Espresso shot,Hell's Kitchen,9,9,13,39.00,39.00,202301,Jan,Fri,Morning,High
Coffee beans,Premium Beans,Civet Cat,Hell's Kitchen,1,1,1,45.00,45.00,202305,May,Sat,Afternoon,High
Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Hell's Kitchen,4,4,6,21.00,21.00,202305,May,Sat,Afternoon,Low
Coffee,Gourmet brewed coffee,Ethiopia Lg,Hell's Kitchen,11,11,17,59.50,59.50,202301,Jan,Fri,Morning,High
Coffee,Organic brewed coffee,Brazilian Lg,Hell's Kitchen,1,1,2,7.00,7.00,202305,May,Sun,Night,Low
Tea,Brewed Black tea,English Breakfast Rg,Hell's Kitchen,1,1,1,2.50,2.50,202305,May,Sun,Night,Low
Coffee,Barista Espresso,Ouro Brasileiro shot,Hell's Kitchen,1,1,1,3.00,3.00,202305,May,Sun,Night,Low
Coffee beans,Premium Beans,Civet Cat,Hell's Kitchen,1,1,1,45.00,45.00,202305,May,Sun,Night,High
Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Hell's Kitchen,1,1,1,4.50,4.50,202305,May,Sun,Night,Low
Tea,Brewed herbal tea,Lemon Grass Rg,Hell's Kitchen,1,1,1,2.50,2.50,202305,May,Sun,Night,Low
Coffee,Drip coffee,Our Old Time Diner Blend Sm,Hell's Kitchen,1,1,2,4.00,4.00,202305,May,Sun,Night,Low
Bakery,Pastry,Croissant,Hell's Kitchen,2,2,2,7.00,7.00,202305,May,Sun,Night,Low
Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Hell's Kitchen,7,7,13,52.00,52.00,202301,Jan,Fri,Morning,High
Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Hell's Kitchen,1,1,2,7.50,7.50,202305,May,Sun,Night,Low
Coffee,Drip coffee,Our Old Time Diner Blend Rg,Hell's Kitchen,1,1,2,5.00,5.00,202305,May,Sun,Night,Low
Branded,Housewares,I Need My Bean! Latte cup,Hell's Kitchen,1,1,1,14.00,14.00,202305,May,Sun,Evening,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Hell's Kitchen,3,3,5,15.00,15.00,202305,May,Sun,Evening,Low
Tea,Brewed Black tea,Earl Grey Rg,Hell's Kitchen,11,11,17,42.50,42.50,202301,Jan,Fri,Morning,High
Bakery,Pastry,Chocolate Croissant,Hell's Kitchen,2,2,2,7.50,7.50,202305,May,Sun,Evening,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Hell's Kitchen,3,3,5,10.00,10.00,202305,May,Sat,Afternoon,Low
Coffee,Barista Espresso,Latte,Hell's Kitchen,9,9,16,60.00,60.00,202301,Jan,Fri,Morning,High
Tea,Brewed herbal tea,Lemon Grass Rg,Hell's Kitchen,8,8,14,35.00,35.00,202301,Jan,Fri,Morning,High
Bakery,Scone,Ginger Scone,Hell's Kitchen,5,5,5,16.25,16.25,202305,May,Sun,Evening,Low
Tea,Brewed Black tea,English Breakfast Rg,Hell's Kitchen,13,13,20,50.00,50.00,202301,Jan,Fri,Morning,High
Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Hell's Kitchen,1,1,2,6.20,6.20,202305,May,Sun,Night,Low
Coffee beans,Gourmet Beans,Columbian Medium Roast,Hell's Kitchen,1,1,1,15.00,15.00,202305,May,Wed,Evening,Low
Bakery,Scone,Cranberry Scone,Hell's Kitchen,3,3,3,9.75,9.75,202305,May,Wed,Evening,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Hell's Kitchen,3,3,4,15.00,15.00,202305,May,Wed,Afternoon,Low
Coffee beans,Gourmet Beans,Ethiopia,Hell's Kitchen,1,1,1,21.00,21.00,202305,May,Wed,Morning,Low
Coffee beans,Espresso Beans,Primo Espresso Roast,Hell's Kitchen,2,2,2,40.90,40.90,202305,May,Wed,Morning,High
Flavours,Regular syrup,Chocolate syrup,Hell's Kitchen,2,2,2,1.60,1.60,202305,May,Tue,Evening,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Hell's Kitchen,3,3,4,10.00,10.00,202305,May,Tue,Afternoon,Low
Coffee beans,House blend Beans,Our Old Time Diner Blend,Hell's Kitchen,2,2,2,36.00,36.00,202305,May,Tue,Afternoon,High
Coffee beans,Gourmet Beans,Columbian Medium Roast,Hell's Kitchen,1,1,1,15.00,15.00,202305,May,Tue,Afternoon,Low
Coffee beans,Premium Beans,Jamacian Coffee River,Hell's Kitchen,3,3,3,59.25,59.25,202305,May,Tue,Morning,High
Coffee,Organic brewed coffee,Brazilian Sm,Hell's Kitchen,6,6,10,22.00,22.00,202306,Jun,Fri,Evening,Low
Coffee,Barista Espresso,Cappuccino,Hell's Kitchen,6,6,6,22.50,22.50,202306,Jun,Fri,Evening,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Hell's Kitchen,5,5,8,16.00,16.00,202301,Jan,Wed,Afternoon,Low
Bakery,Scone,Ginger Scone,Hell's Kitchen,6,6,6,19.50,19.50,202306,Jun,Fri,Evening,Low
Coffee,Organic brewed coffee,Brazilian Lg,Hell's Kitchen,6,6,9,31.50,31.50,202306,Jun,Fri,Evening,High
Coffee,Barista Espresso,Cappuccino,Hell's Kitchen,10,10,15,56.25,56.25,202306,Jun,Thu,Afternoon,High
Bakery,Scone,Oatmeal Scone,Hell's Kitchen,2,2,2,6.00,6.00,202306,Jun,Fri,Evening,Low
Tea,Brewed Black tea,English Breakfast Rg,Hell's Kitchen,5,5,5,12.50,12.50,202306,Jun,Fri,Evening,Low
Bakery,Scone,Scottish Cream Scone ,Hell's Kitchen,4,4,4,18.00,18.00,202306,Jun,Fri,Evening,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Hell's Kitchen,10,10,15,37.50,37.50,202306,Jun,Fri,Evening,High
Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Hell's Kitchen,8,8,9,27.00,27.00,202306,Jun,Fri,Evening,Low
Coffee,Organic brewed coffee,Brazilian Rg,Hell's Kitchen,5,5,6,18.00,18.00,202306,Jun,Fri,Evening,Low
Bakery,Biscotti,Hazelnut Biscotti,Hell's Kitchen,8,8,8,26.00,26.00,202306,Jun,Fri,Evening,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Hell's Kitchen,6,6,10,24.50,24.50,202306,Jun,Fri,Evening,Low
Coffee,Organic brewed coffee,Brazilian Lg,Hell's Kitchen,3,3,6,21.00,21.00,202301,Jan,Wed,Evening,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Hell's Kitchen,9,9,14,52.50,52.50,202306,Jun,Fri,Evening,High
Coffee,Barista Espresso,Espresso shot,Hell's Kitchen,8,8,13,39.00,39.00,202306,Jun,Fri,Evening,High
Tea,Brewed Black tea,Earl Grey Lg,Hell's Kitchen,8,8,12,36.00,36.00,202306,Jun,Fri,Evening,High
Coffee,Barista Espresso,Espresso shot,Hell's Kitchen,14,14,22,66.00,66.00,202306,Jun,Sat,Morning,High
Coffee,Drip coffee,Our Old Time Diner Blend Sm,Hell's Kitchen,16,16,28,56.00,56.00,202306,Jun,Sat,Morning,High
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Hell's Kitchen,18,18,25,118.75,118.75,202306,Jun,Sat,Morning,High
Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Hell's Kitchen,13,13,21,94.50,94.50,202306,Jun,Sat,Morning,High
Coffee,Barista Espresso,Latte Rg,Hell's Kitchen,6,6,9,38.25,38.25,202301,Jan,Wed,Afternoon,High
Coffee,Barista Espresso,Cappuccino Lg,Hell's Kitchen,16,16,24,102.00,102.00,202306,Jun,Sat,Morning,High
Bakery,Biscotti,Hazelnut Biscotti,Hell's Kitchen,16,16,16,52.00,52.00,202306,Jun,Sat,Morning,High
Coffee,Drip coffee,Our Old Time Diner Blend Lg,Hell's Kitchen,21,21,30,90.00,90.00,202306,Jun,Sat,Morning,High
Tea,Brewed herbal tea,Peppermint Rg,Hell's Kitchen,19,19,31,77.50,77.50,202306,Jun,Sat,Morning,High
Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Hell's Kitchen,17,17,29,89.90,89.90,202306,Jun,Sat,Morning,High
Bakery,Pastry,Croissant,Hell's Kitchen,4,4,4,14.00,14.00,202306,Jun,Fri,Evening,Low
Tea,Brewed Black tea,Earl Grey Rg,Hell's Kitchen,4,4,7,17.50,17.50,202301,Jan,Wed,Afternoon,Low
Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Hell's Kitchen,6,6,9,31.50,31.50,202306,Jun,Sat,Morning,High
Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Hell's Kitchen,3,3,5,15.00,15.00,202301,Jan,Wed,Afternoon,Low
Bakery,Scone,Ginger Scone,Hell's Kitchen,2,2,2,6.50,6.50,202305,May,Sun,Afternoon,Low
Bakery,Biscotti,Chocolate Chip Biscotti,Hell's Kitchen,1,1,1,3.50,3.50,202305,May,Sat,Afternoon,Low
Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Hell's Kitchen,4,4,8,28.00,28.00,202305,May,Sat,Night,Low
Coffee,Gourmet brewed coffee,Ethiopia Rg,Hell's Kitchen,11,11,17,51.00,51.00,202301,Jan,Fri,Morning,High
Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Hell's Kitchen,10,10,15,38.25,38.25,202301,Jan,Fri,Morning,High
Coffee,Barista Espresso,Latte Rg,Hell's Kitchen,10,10,19,80.75,80.75,202301,Jan,Fri,Morning,High
Bakery,Pastry,Chocolate Croissant,Hell's Kitchen,13,13,13,48.75,48.75,202301,Jan,Fri,Morning,High
Tea,Brewed herbal tea,Lemon Grass Lg,Hell's Kitchen,8,8,16,48.00,48.00,202301,Jan,Fri,Morning,High
Tea,Brewed Black tea,English Breakfast Rg,Hell's Kitchen,2,2,4,10.00,10.00,202305,May,Sun,Afternoon,Low
Tea,Brewed Chai tea,Traditional Blend Chai Rg,Hell's Kitchen,12,12,16,40.00,40.00,202301,Jan,Fri,Morning,High
Coffee,Organic brewed coffee,Brazilian Rg,Hell's Kitchen,12,12,19,57.00,57.00,202301,Jan,Fri,Morning,High
Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Hell's Kitchen,9,9,14,43.40,43.40,202301,Jan,Fri,Morning,High
Bakery,Biscotti,Hazelnut Biscotti,Hell's Kitchen,2,2,2,6.50,6.50,202305,May,Sun,Afternoon,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Hell's Kitchen,3,3,4,8.00,8.00,202305,May,Sun,Afternoon,Low
Bakery,Scone,Oatmeal Scone,Hell's Kitchen,6,6,6,18.00,18.00,202301,Jan,Fri,Morning,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Hell's Kitchen,5,5,8,24.80,24.80,202301,Jan,Fri,Morning,Low
Coffee,Barista Espresso,Latte Rg,Hell's Kitchen,1,1,2,8.50,8.50,202305,May,Sun,Night,Low
Coffee beans,Premium Beans,Jamacian Coffee River,Hell's Kitchen,1,1,1,19.75,19.75,202305,May,Sun,Afternoon,Low
Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Hell's Kitchen,7,7,11,38.50,38.50,202301,Jan,Fri,Morning,High
Tea,Brewed Black tea,Earl Grey Lg,Hell's Kitchen,3,3,5,15.00,15.00,202305,May,Sun,Afternoon,Low
Flavours,Regular syrup,Carmel syrup,Hell's Kitchen,2,2,4,3.20,3.20,202305,May,Sun,Afternoon,Low
Bakery,Scone,Ginger Scone,Hell's Kitchen,6,6,6,19.50,19.50,202301,Jan,Fri,Morning,Low
Coffee beans,Premium Beans,Civet Cat,Hell's Kitchen,1,1,1,45.00,45.00,202305,May,Sun,Afternoon,High
Branded,Housewares,I Need My Bean! Diner mug,Hell's Kitchen,1,1,1,12.00,12.00,202305,May,Sun,Morning,Low
Branded,Housewares,I Need My Bean! Latte cup,Hell's Kitchen,1,1,1,14.00,14.00,202305,May,Sun,Morning,Low
Loose Tea,Black tea,Earl Grey,Hell's Kitchen,1,1,1,8.95,8.95,202305,May,Sun,Morning,Low
Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Hell's Kitchen,5,5,6,15.30,15.30,202305,May,Sun,Afternoon,Low
Bakery,Biscotti,Ginger Biscotti,Hell's Kitchen,3,3,3,10.50,10.50,202306,Jun,Fri,Evening,Low
Coffee,Barista Espresso,Latte,Hell's Kitchen,10,10,18,67.50,67.50,202306,Jun,Fri,Evening,High
Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Hell's Kitchen,6,6,10,45.00,45.00,202306,Jun,Fri,Evening,High
Bakery,Pastry,Almond Croissant,Hell's Kitchen,4,4,4,15.00,15.00,202306,Jun,Fri,Evening,Low
Bakery,Scone,Cranberry Scone,Hell's Kitchen,7,7,7,22.75,22.75,202306,Jun,Fri,Evening,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Hell's Kitchen,1,1,1,0.80,0.80,202305,May,Thu,Evening,Low
Loose Tea,Chai tea,Traditional Blend Chai,Hell's Kitchen,2,2,2,17.90,17.90,202305,May,Thu,Morning,Low
Loose Tea,Black tea,English Breakfast,Hell's Kitchen,1,1,1,8.95,8.95,202305,May,Thu,Morning,Low
Bakery,Biscotti,Ginger Biscotti,Hell's Kitchen,3,3,3,10.50,10.50,202301,Jan,Thu,Evening,Low
Coffee,Gourmet brewed coffee,Ethiopia Sm,Hell's Kitchen,6,6,9,19.80,19.80,202301,Jan,Fri,Afternoon,Low
Flavours,Regular syrup,Hazelnut syrup,Hell's Kitchen,1,1,1,0.80,0.80,202305,May,Thu,Afternoon,Low
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Hell's Kitchen,2,2,4,12.00,12.00,202305,May,Thu,Afternoon,Low
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Hell's Kitchen,6,6,11,33.00,33.00,202301,Jan,Fri,Afternoon,High
Branded,Housewares,I Need My Bean! Latte cup,Hell's Kitchen,1,1,1,14.00,14.00,202305,May,Thu,Evening,Low
Coffee,Gourmet brewed coffee,Ethiopia Rg,Hell's Kitchen,6,6,9,27.00,27.00,202305,May,Thu,Morning,Low
Coffee,Barista Espresso,Cappuccino Lg,Hell's Kitchen,2,2,4,17.00,17.00,202305,May,Thu,Evening,Low
Loose Tea,Black tea,Earl Grey,Hell's Kitchen,1,1,1,8.95,8.95,202305,May,Thu,Evening,Low
Packaged Chocolate,Drinking Chocolate,Chili Mayan,Hell's Kitchen,1,1,1,13.33,13.33,202305,May,Fri,Morning,Low
Coffee beans,Espresso Beans,Primo Espresso Roast,Hell's Kitchen,3,3,3,61.35,61.35,202305,May,Fri,Morning,High
Tea,Brewed Black tea,Earl Grey Lg,Hell's Kitchen,20,20,28,84.00,84.00,202306,Jun,Thu,Morning,High
Bakery,Scone,Ginger Scone,Hell's Kitchen,14,14,14,45.50,45.50,202306,Jun,Thu,Morning,High
Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Hell's Kitchen,19,19,27,94.50,94.50,202306,Jun,Thu,Morning,High
Bakery,Pastry,Chocolate Croissant,Hell's Kitchen,22,22,22,82.50,82.50,202306,Jun,Thu,Morning,High
Coffee beans,Espresso Beans,Espresso Roast,Hell's Kitchen,1,1,1,14.75,14.75,202305,May,Thu,Morning,Low
Tea,Brewed Black tea,Earl Grey Rg,Hell's Kitchen,2,2,3,7.50,7.50,202301,Jan,Fri,Afternoon,Low
Coffee beans,Gourmet Beans,Columbian Medium Roast,Hell's Kitchen,1,1,1,15.00,15.00,202305,May,Thu,Morning,Low
Loose Tea,Herbal tea,Peppermint,Hell's Kitchen,2,2,2,17.90,17.90,202305,May,Thu,Morning,Low
Coffee,Organic brewed coffee,Brazilian Sm,Hell's Kitchen,4,4,7,15.40,15.40,202301,Jan,Fri,Afternoon,Low
Bakery,Pastry,Almond Croissant,Hell's Kitchen,3,3,3,11.25,11.25,202301,Jan,Fri,Afternoon,Low
Coffee,Drip coffee,Our Old Time Diner Blend Lg,Hell's Kitchen,4,4,8,24.00,24.00,202301,Jan,Fri,Afternoon,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Hell's Kitchen,5,5,7,21.00,21.00,202301,Jan,Fri,Afternoon,Low
Coffee beans,House blend Beans,Our Old Time Diner Blend,Hell's Kitchen,1,1,1,18.00,18.00,202305,May,Thu,Morning,Low
Tea,Brewed herbal tea,Peppermint Lg,Hell's Kitchen,8,8,11,33.00,33.00,202301,Jan,Fri,Morning,High
Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Hell's Kitchen,10,10,15,56.25,56.25,202301,Jan,Fri,Morning,High
Bakery,Scone,Scottish Cream Scone ,Hell's Kitchen,7,7,7,31.50,31.50,202301,Jan,Fri,Morning,High
